id,name,describe,how_to_fix,music,is_valid
000000,ERROR_CODE_NONE,没有任何错误, 无,,1
000101,ERROR_CODE_USER_OR_PASSWORD_INVALID,连接失败，账号或密码错误,请用正确的账号和密码登录,,1
000102,ERROR_CODE_USER_FMS_ALREADY_EXISTS,FMS用户已经登录了，不允许其他的FMS用户登录,请检查是否有其他FMS用户登录了，或者是FMS掉线后重连没有带上一次的session_id,,1
000103,ERROR_CODE_PROHIBIT_FMS_USER_WHEN_VDA5050_ENABLED,当开启function.system.enable_vda5050参数时，不允许FMS用户登录,只能有一个调度存在，要么关掉function.system.enable_vda5050参数，要么不使用FMS用户,,1
000200,ERROR_CODE_UNDEFINED,未定义的错误码,联系厂家,,1
000201,ERROR_CODE_UNREACHABLE,unreachable,联系厂家,,1
000300,ERROR_CODE_CONTROL_MUTEX_IS_LOCKED,车辆当前被他人独占，不允许对车辆进行“写”操作,等待独占者解除独占，或者用admin权限强制解除他人的独占,,1
000301,ERROR_CODE_EXECUTE_COMMAND_IN_INITIALIZING,车辆正在初始化，不能执行命令。,等车辆初始化完成后，再试,,1
000302,ERROR_CODE_FUNCTION_ABANDONED,该功能被废弃,请用最新的协议,,1
000303,ERROR_CODE_SRC_NOT_SUPPORE,SRC不支持该功能,请找项目经理确认SRC需要哪个版本，升级完后再试,,1
000304,ERROR_CODE_CANNOT_START_WHILE_IN_AUTOMATIC_MODE,请注意，当前是自动模式，机器人不能执行系统任务。,请切换到手动模式再试。,,1
000305,ERROR_CODE_CANNOT_START_WHILE_IN_MAINTENANCE_MODE,请注意，当前是维保模式，机器人只执行触摸屏指令。,请在触摸屏切换到手动模式再试。,,1
001000,ERROR_CODE_LOAD_MAP_FAILED,加载地图失败,请检查地图是否正确,,1
002001,ERROR_CODE_UPGRADE_SROS_FAILED_CURRENT_VERSION_MUST_MORE_THAN_4010001,升级版本失败,请先升级v4.10.1然后升级此版本,,1
002010,ERROR_CODE_UPGRADE_SROS_FAILED_NEW_VERSION_MUST_MORE_THAN_4010001,升级版本失败,升级的版本必须大于v4.10.1,,1
010001,ERROR_CODE_LOCATION_RUNNING,定位已启动，无需再次启动定位,定位已经启动，无需再定位,,0
010002,ERROR_CODE_LOCATION_SLAM_STATE_ERROR,启动定位时SLAM状态异常,稍后再试,,1
010003,ERROR_CODE_LOCATION_STATION_NOT_EXIST,通过站点定位，但是该站点不存在,确保车辆在站点上，才能通过站点定位,,1
010004,ERROR_CODE_LOCATION_STARTING,正在尝试启动定位,当前正在尝试定位，稍后再试,,0
010005,ERROR_CODE_LOCATION_NO_MAP,定位的时候地图未加载,请加载地图之后，再试,,1
010006,ERROR_CODE_LOCATION_MAP_LOAD_ERROR,地图没有正确加载，无法定位,请检查地图是否正确后，再试,,1
010007,ERROR_CODE_LOCATION_IN_MAP_SWITCHING,定位时正在切换地图,等地图切换后，再试,,1
020001,ERROR_CODE_LOCATION_NO_RUNNING,关闭定位时定位未启动,定位未启动，无需关闭定位,,0
020003,ERROR_CODE_LOCATION_MOVEMENT_RUNNING,关闭定位时车辆正在执行移动任务,等车辆空闲后，再试,,1
